Date,Open,High,Low,Close
2015-04-10,19989.550781,20006.0,19845.310547,19907.630859
2015-04-09,19851.119141,19957.320312,19822.490234,19937.720703
2015-04-08,19729.699219,19845.529297,19693.630859,19789.810547
2015-04-07,19539.029297,19667.480469,19501.310547,19640.539062
2015-04-06,19295.029297,19424.089844,19241.289062,19397.980469
2015-04-03,19289.039062,19435.080078,19289.039062,19435.080078
2015-04-02,19141.929688,19433.890625,19115.140625,19312.789062
2015-04-01,19129.75,19195.230469,18927.949219,19034.839844
2015-03-31,19592.429688,19607.25,19206.990234,19206.990234
2015-03-30,19295.210938,19474.070312,19227.289062,19411.400391
2015-03-27,19374.720703,19590.029297,19099.869141,19285.630859
2015-03-26,19605.599609,19623.109375,19397.009766,19471.119141
2015-03-25,19745.75,19775.449219,19542.220703,19746.199219
2015-03-24,19718.990234,19770.640625,19646.349609,19713.449219
2015-03-23,19479.710938,19565.439453,19416.630859,19560.220703
2015-03-20,19479.710938,19565.439453,19416.630859,19560.220703
2015-03-19,19514.640625,19557.169922,19312.699219,19476.560547
2015-03-18,19407.759766,19555.720703,19389.240234,19544.480469
2015-03-17,19425.890625,19479.890625,19373.390625,19437.0
2015-03-16,19245.380859,19349.199219,19226.710938,19246.060547
2015-03-13,19119.580078,19335.800781,19042.25,19254.25
2015-03-12,18787.099609,19008.130859,18774.419922,18991.109375
2015-03-11,18604.869141,18836.929688,18583.519531,18723.519531
2015-03-10,18891.009766,18924.380859,18577.060547,18665.109375
2015-03-09,18872.960938,18878.150391,18733.869141,18790.550781
2015-03-06,18814.849609,18979.640625,18808.300781,18971.0
2015-03-05,18658.160156,18767.5,18655.359375,18751.839844
2015-03-04,18716.779297,18732.660156,18586.839844,18703.599609
2015-03-03,18910.519531,18910.519531,18730.570312,18815.160156
2015-03-02,18869.400391,18939.169922,18775.230469,18826.880859
2015-02-27,18844.279297,18865.390625,18714.640625,18797.939453
2015-02-26,18587.869141,18790.830078,18587.130859,18785.789062
2015-02-25,18636.339844,18648.769531,18552.810547,18585.199219
2015-02-24,18468.390625,18603.480469,18427.980469,18603.480469
2015-02-23,18499.580078,18509.080078,18402.019531,18466.919922
2015-02-20,18336.5,18360.919922,18297.669922,18332.300781
2015-02-19,18237.349609,18322.5,18237.349609,18264.789062
2015-02-18,18103.980469,18202.609375,18092.320312,18199.169922
2015-02-17,18103.980469,18123.009766,18092.320312,18123.009766
2015-02-16,18024.009766,18074.259766,17978.900391,18004.769531
2015-02-13,17892.099609,17962.109375,17864.550781,17913.359375
2015-02-12,17899.400391,18005.449219,17884.339844,17979.720703
2015-02-11,17652.679688,17652.679688,17652.679688,17652.679688
2015-02-10,17662.669922,17673.269531,17550.029297,17652.679688
